Film,URL,Start,End,Comment,Genres,,Video duration in sec:,20,Current number of clips:,737
The Departed,https://www.youtube.com/watch?v=kIsyHKsjftY,1:06,1:26,The departed (gimme shelter),"Crime, Drama, Thriller",,,1,,
The Departed,https://www.youtube.com/watch?v=V3f9UJTmgd0,0:55,1:26,The departed (final scene),"Crime, Drama, Thriller",,,1,,
The graduate,https://www.youtube.com/watch?v=ahFARm2j38c,3:59,4:45,The graduate,"Comedy, Drama, Romance",,,2,,
The Hobbit - An Unexpected Journey,https://www.youtube.com/watch?v=TeSzBaedb2Y,1:28,1:48,Battling_the_Trolls_Scene_5_10_Movieclips,"Adventure, Family, Fantasy",,,1,,
The Illusionist,https://www.youtube.com/watch?v=pvy3fR8rJDg,1:32,2:49,The Illusionist (end scene),"Drama, Fantasy, History",,,3,,
The Karate Kid 2010,https://www.youtube.com/watch?v=E-wr7dD1n5w,1:50,2:10,Six_Versus_One_Scene_1_10_Movieclips,"Action, Drama, Family",,,1,,
The Last of the Mohicans,https://www.youtube.com/watch?v=q8ZisDHg6v0,1:07,2:46,the last of the mohicans (the end),"Action, Adventure, Drama",,,4,,
The Lives of Others,https://www.youtube.com/watch?v=XYUB7bw-kjg,3:53,4:40,The lives of others (ending 1),"Drama, Mystery, Thriller",,,2,,
The Lord of the Rings: The Return of the King,https://www.youtube.com/watch?v=Pis3veqKl8k,2:44,3:15,Lord of the Rings:Return of the King (The Ride of the Rohirrim),"Adventure, Drama, Fantasy",,,1,,
The Lord of the Rings: The Return of the King,https://www.youtube.com/watch?v=17_ImViPryQ,2:48,3:27,Lord of the Rings:Return of the King (black gate battle scene),"Adventure, Drama, Fantasy",,,1,,
The Lord of the Rings: The Return of the King,https://youtu.be/QhRFaY8A9cA,1:00,2:35,Return of the King (lighting of beacons),"Adventure, Drama, Fantasy",,,4,,
The Lord of the Rings: The Return of the King,https://www.youtube.com/watch?v=cHjt9Q00sp4,0:00,0:40,LOTR Aragorn's Song (1),"Adventure, Drama, Fantasy",,,2,,
The Lord of the Rings: The Return of the King,https://www.youtube.com/watch?v=cHjt9Q00sp4,1:55,2:20,LOTR Aragorn's Song (2),"Adventure, Drama, Fantasy",,,1,,
The Lord of the Rings: The Return of the King,https://www.youtube.com/watch?v=cHjt9Q00sp4,2:28,3:15,LOTR Aragorn's Song (3),"Adventure, Drama, Fantasy",,,2,,
The Mask of Zorro,https://www.youtube.com/watch?v=kaJv6L8vF-Y,0:21,1:26,The Mask of Zorro (dance scene),"Action, Adventure, Comedy",,,3,,
The Mirror,https://www.youtube.com/watch?v=R2-DaRZzh0I,0:03,0:23,Mirror (opening),"Biography, Drama",,,1,,
The name of the rose,https://www.youtube.com/watch?v=qC9EG9Vh9CA,2:40,3:30,The name of the rose (labyrinth),"Crime, Drama, Mystery",,,2,,
The Polar Express 2004,https://www.youtube.com/watch?v=Cht63QybtiA,0:44,1:04,Back_on_Track_Scene_2_5_Movieclips,"Animation, Adventure, Comedy",,,1,,
The Prince of Egypt 1998,https://www.youtube.com/watch?v=1-WimijgGEU,3:28,3:48,Deliver_Us_Scene_1_10_Movieclips,"Animation, Adventure, Drama",,,1,,
The Prince of Egypt 1998,https://www.youtube.com/watch?v=1-WimijgGEU,3:36,3:56,Deliver_Us_Scene_1_10_Movieclips,"Animation, Adventure, Drama",,,1,,
The Prince of Egypt 1998,https://www.youtube.com/watch?v=1-WimijgGEU,1:38,1:58,Deliver_Us_Scene_1_10_Movieclips,"Animation, Adventure, Drama",,,1,,
The Prince of Egypt 1998,https://www.youtube.com/watch?v=GJleW4TCQM0,2:08,2:28,The_10_Plagues_Scene_6_10_Movieclips,"Animation, Adventure, Drama",,,1,,
The Prince of Egypt 1998,https://www.youtube.com/watch?v=GJleW4TCQM0,0:44,1:04,The_10_Plagues_Scene_6_10_Movieclips,"Animation, Adventure, Drama",,,1,,
The Prince of Egypt 1998,https://www.youtube.com/watch?v=NieC8KA0EvI,3:00,3:20,When_You_Believe_Scene_8_10_Movieclips,"Animation, Adventure, Drama",,,1,,
The Prince of Egypt 1998,https://www.youtube.com/watch?v=NieC8KA0EvI,3:48,4:08,When_You_Believe_Scene_8_10_Movieclips,"Animation, Adventure, Drama",,,1,,
The Secret Life of Pets,https://www.youtube.com/watch?v=HPGSDBjsSWI,1:50,2:10,Get_the_Keys_Scene_8_10_Movieclips,"Animation, Adventure, Comedy",,,1,,
The Shining,https://www.youtube.com/watch?v=cy7ztJ3NUMI,1:10,2:10,The shining (steadicam),"Drama, Horror",,,3,,
The Shining,https://www.youtube.com/watch?v=kiV3J_e977Q,0:00,2:47,The shining (opening),"Drama, Horror",,,8,,
The Shining 1980,https://www.youtube.com/watch?v=WDpipB4yehk,0:10,0:30,Here_s_Johnny_Scene_7_7_Movieclips,"Drama, Horror",,,1,,
Thor Ragnarok,https://youtu.be/Ihjx3mX75y8,0:25,2:13,Thor Ragnarok (battle),"Action, Adventure, Comedy",,,5,,
Titanic,https://www.youtube.com/watch?v=8MDPeL8lpzo,2:06,2:37,Titanic (I'm flying),"Drama, Romance",,,1,,
Trainspotting,https://www.youtube.com/watch?v=_IDJpB9de3E,1:40,2:30,Trainspotting (perfect day),Drama,,,2,,
Ulysse's Gaze,https://www.youtube.com/watch?v=Cf-EuW2oIF8,1:47,3:11,Ulysse's Gaze,"Drama, War",,,4,,
Upgrade 2018,https://www.youtube.com/watch?v=-DqmTaUK-Ow,1:36,1:56,STEM_Takes_Over_Scene_10_10_Movieclips,"Action, Horror, Sci-Fi",,,1,,
Whiplash,https://www.youtube.com/watch?v=ZZY-Ytrw2co,1:04,1:37,Whiplash,"Drama, Music",,,1,,
Willy Wonka the Chocolate Factory,https://www.youtube.com/watch?v=LIYNk4ARUR8,2:02,2:22,Pure_Imagination_Scene_4_10_Movieclips,"Family, Fantasy, Musical",,,1,,
Yojimbo,https://www.youtube.com/watch?v=zCjsazHO0c0,0:00,0:20,Yojimbo (entrance),"Action, Drama, Thriller",,,1,,
